animeID,name,scored
0,Cowboy Bebop,8.81
1,Cowboy Bebop: Tengoku no Tobira,8.41
2,Trigun,8.31
3,Witch Hunter Robin,7.34
4,Beet the Vandel Buster,7.04
5,Eyeshield 21,8.05
6,Hachimitsu to Clover,8.14
7,Hungry Heart: Wild Striker,7.69
8,Initial D Fourth Stage,8.24
9,Monster,8.69
10,Naruto,7.88
11,One Piece,8.54
12,Tennis no Ouji-sama,8.01
13,Ring ni Kakero 1,6.59
14,School Rumble,8.02
15,Sunabouzu,7.52
16,Texhnolyze,7.78
17,Trinity Blood,7.41
18,Yakitate!! Japan,8.02
19,Zipang,7.54
20,Neon Genesis Evangelion,8.32
21,Neon Genesis Evangelion: Death & Rebirth,7.5
22,Neon Genesis Evangelion: The End of Evangelion,8.48
23,Kenpuu Denki Berserk,8.45
24,Ghost in the Shell,8.35
25,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.79
26,Rurouni Kenshin: Meiji Kenkaku Romantan,8.4
27,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.63
28,Akira,8.16
29,.hack//Sign,7.09
30,Aa! Megami-sama!,7.38
31,Aa! Megami-sama! (TV),7.43
32,Tenshi Kinryouku,6.42
33,Kidou Tenshi Angelic Layer,7.31
34,Ai Yori Aoshi,7.21
35,Appleseed (Movie),7.19
36,Arc the Lad,6.6
37,Avenger,5.97
38,Beck,8.37
39,Blue Gender,7.11
40,Chobits,7.53
41,Chrno Crusade,7.76
42,D.N.Angel,7.31
43,D.C.: Da Capo,6.87
44,DearS,6.74
45,Rozen Maiden,7.53
46,Rozen Maiden: Träumend,7.74
47,Azumanga Daioh,8.04
48,Basilisk: Kouga Ninpou Chou,7.66
49,Black Cat,7.49
50,Cluster Edge,6.45
51,Full Metal Panic!,7.75
52,Full Metal Panic? Fumoffu,8.16
53,Full Metal Panic! The Second Raid,8.03
54,Gakuen Alice,7.77
55,Soukyuu no Fafner: Dead Aggressor,7.36
56,Mahou Shoujo Lyrical Nanoha,7.49
57,Mahou Shoujo Lyrical Nanoha A&#039;s,8.07
58,Shuffle!,7.24
59,Mobile Suit Gundam,7.87
60,Mobile Suit Gundam: The 08th MS Team,8.1
61,Mobile Suit Gundam 0080: War in the Pocket,7.87
62,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,6.92
63,Mobile Suit Gundam 0083: Stardust Memory,7.42
64,Mobile Suit Zeta Gundam,8.02
65,Mobile Suit Gundam ZZ,6.76
66,Mobile Suit Gundam: Char&#039;s Counterattack,7.77
67,Mobile Suit Gundam F91,6.81
68,Mobile Suit Victory Gundam,6.89
69,Mobile Suit Gundam Wing,7.84
70,Mobile Suit Gundam Wing: Endless Waltz,7.86
71,Kidou Shin Seiki Gundam X,7.38
72,Mobile Suit Gundam SEED,7.88
73,Mobile Suit Gundam SEED Destiny,7.32
74,Turn A Gundam,7.75
75,Mobile Fighter G Gundam,7.61
76,Last Exile,7.9
77,Mai-HiME,7.55
78,Mai-Otome,7.37
79,Shin Shirayuki-hime Densetsu Prétear,7.3
80,Air,7.42
81,Aishiteruze Baby★★,7.55
82,Akazukin Chacha,7.46
83,Ayashi no Ceres,7.34
84,Boys Be...,6.54
85,Hana yori Dango,7.85
86,Ou Dorobou Jing,7.32
87,Ou Dorobou Jing in Seventh Heaven,7.39
88,Bakuretsu Tenshi,6.9
89,Chuuka Ichiban!,7.7
90,Corrector Yui,6.9
91,Chou Henshin Cosprayers,5.05
92,Uchuu no Stellvia,7.46
93,Sakigake!! Cromartie Koukou,8
94,El Hazard: The Alternative World,6.91
95,El Hazard: The Wanderers,7.06
96,El Hazard: The Magnificent World,7.4
97,El Hazard 2: The Magnificent World,6.95
98,Final Approach,6.64
99,Fruits Basket,7.77
100,Fullmetal Alchemist,8.29
101,Full Moon wo Sagashite,8.05
102,Fushigi Yuugi,7.75
103,Fushigi Yuugi: Eikouden,6.98
104,Futakoi,6.59
105,Futakoi Alternative,6.99
106,Gate Keepers,7.04
107,Gate Keepers 21,6.87
108,Gensoumaden Saiyuuki,7.68
109,Saiyuuki Reload,7.51
110,Saiyuuki Reload Gunlock,7.53
111,GetBackers,7.69
112,Green Green,6.36
113,Gunslinger Girl,7.51
114,Hikaru no Go,8.17
115,Hunter x Hunter,8.47
116,Hunter x Hunter: Yorkshin City Kanketsu-hen,8.39
117,Hunter x Hunter: Greed Island,8.3
